Method,Embedding,Silhouette,DBI
KMeans,Word2Vec,0.41859757900238037,0.6364736803778781
KMeans,BERT,0.08144911378622055,2.7584755395146883
KMeans,TF-IDF,0.019710795838580035,5.069140940546615
KMeans,TF-IDF + LDA + PCA,0.507839751468517,0.6621112644278592
AHC,Word2Vec,0.4360661506652832,0.7196131289004288
AHC,BERT,0.12394604086875916,2.582881852730408
AHC,TF-IDF,0.009555176883240328,3.3093108264638986
AHC,TF-IDF + LDA + PCA,0.4396382667942683,0.8000224446598186
DBSCAN,Word2Vec,0.6539286971092224,0.7720151171283458
DBSCAN,BERT,0.1284094601869583,1.9198437360422957
DBSCAN,TF-IDF,-0.2609836277992285,5.58533245495018
DBSCAN,TF-IDF + LDA + PCA,0.3772433099501834,1.4625085540338518
